ID,Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
7716,TOYOTA is the best,Camry HYBRID,2013,,,Sapphire Blue,779,Electric Hybrid,4.0,auto,2.5,119000,12,24775
6276,nissan,I own Pathfinder.,2006,jeep,6.0,Metallic,1829,Dies,4.0,manual,2.5 Turbo,TOTAL 160000 km,8 count,21326
14557,toyota,HIGHLANDER,2008,,6.0,Pearl White,1750,Electric Hybrid,6.0,auto,3.3,334414 km,12,12544
16002,kia,Optima,2017&,WOOW Sedan,4.0,Pearl White,870,Dies,4.0 cyl,gear,1.7,30098 km,4,39044
3841,,I own Mazda 6.,1914,Sedan,2.0,Charcoal,.,Gas,4.0 cyl,R,2.5,125000,12,24148
11144,,,1-1-2013,,3.0,Jet Black,1055,Dies,6.0 cyl,,3.5,237158 KM,12,157
10117,,ESCAPE,3009,jeep,6.0,Pearl White,1185 pound,Electric Hybrid,4.0,,2.5,193614  kilometer,ONLY 0 AIRBAG,220
4898,DAEWOO,,2009&,Sedan,3.0,Metallic,The car levy amounted is 790 per vehicle.,Gas,4.0,others,1.6,91930 km,4,3763
6467,I love MERCEDES-BENZ,E 220,1998,Sedan,1.0,Sapphire Blue,-,Dies,4.0,R,2.2,0  kilo,4,8781
5316,SUBARU is the best,I own Outback.,2018},,5.0,Metallic,1327$,Gas,4.0,,2.5,0 km,12/,1882
15493,kia,my model which is Optima hybid is the best,2013,WOOW Sedan,4.0,,-,Electric Hybrid,16.0,others,2.4,105000 km,ONLY 6 AIRBAG,20385
2245,NISSAN,I have the fastest model ever.. yes you got it right it's Altima,14years old,Sedan3,2.0,Jet Black,The car levy amounted is 1024 per vehicle.,Gas,4.0,,2.5,238342 km,12,627
15512,TOYOTA,I own Camry.,1-1-2014,sedan,3.0,,777$,,0,gear,2.5,92800 km,10,25402
8591,mercedes-benz,Vito,2001,,3.0,Crimson,-,Dies,4.0 cyl,manual,2.2 Turbo,380000 km,2,10032
11644,ford,I own Fiesta.,2015`,sedan,5.0,Metallic,629,Gas,4.0 cyl,gear,1.6,0 km,12),314
8992,bmw,my model which is 335 is the best,2112,sedan,1.0,Pearl White,919,Gas,6.0,AUTO,3,82990  kilometer,-100,23521
4118,AUDI,RS7,,hatchback,2.0,Pearl White,-8810,Gas,18.0,AUTO,4,98446  kilometer,12,549
13832,ssangyong,KORANDO,,jeep,2.0,Pearl White,707$,Dies,14.0,R,2,85600,4 count,24415
8175,toyota,Prius,2012,hatchback,3.0,Pearl White,586 pound,Electric Hybrid,4.0,auto,1.8,181000,12,19757
3775,HYUNDAI,Sonata,,sedan,3.0,Tangerine,-9235,other,4.0,auto,2,571115 KM,ONLY 4 AIRBAG,9252
1798,toyota,PRIUS,2006,Hatchback,1.0,Crimson,-,,4.0,R,1.5,174000  kilometer,6,11604
6694,toyota,AQUA,2015,Hatchback,2.0,,595,Gas,4.0 cyl,auto,1.5,29000 KM,4,33494
157,,Vectra,1997,Sedan0,3.0,Sand,-,Gas,4.0,,1.6,15000  kilo,2,4547
15668,ssangyong,REXTON,2013,jeep,4.0,,/,Dies,4.0,gear,2,126116 km,4  ,36808
16937,Bmw,328,,SEDAN,3.0,Charcoal,-,Gas,6.0,auto,0,120000  kilo,8=,23521
12967,Bmw,X5,2011,JEEP,2.0,Jet Black,1018$,Gas,16.0,auto,0,155200 KM,ONLY 12 AIRBAG,36065
5486,,I have the fastest model ever.. yes you got it right it's Camry,2014@,WOOW Sedan,2.0,,10394,Electric Hybrid,4.0 cyl,AUTO,2.5,109798 km,12,5488
16546,Toyota,I have the fastest model ever.. yes you got it right it's Prius,1917,Sedan0,3.0,Charcoal,-,Electric Hybrid,4.0,others,1.8,TOTAL 80000 km,12  ,31361
13361,CHEVROLET,my model which is Volt is the best,2014,JEEP,3.0,Jet Black,-,Electric Hybrid,4.0,auto,1.4,133195 km,0,862
12852,jeep,,,jeep,0.0,,1202$,,4.0,auto,2.4,95334 km,1012,1490
3589,HYUNDAI,I have the fastest model ever.. yes you got it right it's Sonata,2014+,Sedan3,6.0,Metallic,The car levy amounted is 639 per vehicle.,,4.0,others,2,347600 km,4,10036
441,toyota,I have the fastest model ever.. yes you got it right it's Highlander,2013*,JEEP,5.0,Jet Black,-8945,Gas,0,,0,125605 KM,12  ,4861
14160,Toyota,COROLLA,2012,Sedan,8.0,Charcoal,586 pound,Gas,4.0,auto,1.8,74000 km,108,18189
17290,Hyundai,I own Elantra.,1-1-2011,sedan,7.0,Jet Black,583 pound,Gas,14.0,,1.6,TOTAL 115934 km,4<,20005
11272,TOYOTA is the best,I own Highlander.,1-1-2008,Jeep0,3.0,Pearl White,1750,Electric Hybrid,6.0,auto,3.3,TOTAL 334414 km,12  ,12544
10288,toyota,Prius,2006,SEDAN,4.0,Sapphire Blue,-,Electric Hybrid,4.0 cyl,auto,1.5,300000 km,-94,5018
6739,,Prius,2010,hatchback,2.0,Pearl White,761$,Electric Hybrid,4.0,,1.8,73402 km,12|,706
16676,TOYOTA,PRIUS,2007,WOOW Hatchback,3.0,Emerald Green,988,Electric Hybrid,0,auto,1.5,0,ONLY 8 AIRBAG,10349
17699,I love TOYOTA,I have the fastest model ever.. yes you got it right it's Highlander,2012,JEEP,2.0,Pearl White,1058 pound,Electric Hybrid,6.0,R,3.5,363059  kilo,12,1490
12946,TOYOTA,I have the fastest model ever.. yes you got it right it's Prius C,"2012,",HATCHBACK,-1.0,Pearl White,10503,Electric Hybrid,14.0,R,1.5,208000,6 bags,13485
5432,SUBARU,FORESTER,2003,WOOW Jeep,2.0,Emerald Green,-,Gas,4.0,others,0,155000  kilo,2,12000
12445,TOYOTA is the best,I have the fastest model ever.. yes you got it right it's Prius,1-1-2007,,0.0,Sapphire Blue,-,Electric Hybrid,4.0 cyl,R,1.5,180000 km,8 count,11604
1873,MERCEDES-BENZ,E 350,15years old,sedan,,,1624,,6.0,,3.5,109139 km,12 bags,3450
15150,honda,I own FIT.,2011,Hatchback1,1.0,Jet Black,-,Electric Hybrid,4.0,auto,1.3,160000  kilo,2 count,12231
4360,honda,ODYSSEY,2011,minivan,4.0,Charcoal,1172,Gas,6.0,others,3.5,86000  kilometer,ONLY 8 AIRBAG,23207
2916,MERCEDES-BENZ,E 350,2013,WOOW Coupe,-1.0,,1055,Dies,6.0,others,0,0,12,627
2253,Mercedes-Benz,GLA 250,1916,JEEP,0.0,Pearl White,891$,Gas,4.0 cyl,others,2,109555 KM,0,8311
17988,toyota,AQUA,1-1-2012,UNIVERSAL,0.0,,+,Electric Hybrid,4.0,,1.5,TOTAL 52456 km,ONLY 4 AIRBAG,22075
7420,TOYOTA,I have the fastest model ever.. yes you got it right it's Camry,2012,WOOW Sedan,6.0,Charcoal,781$,Electric Hybrid,4.0 cyl,R,2.5,314373 km,12`,392
8497,kia,Optima,1-1-2014,sedan,-2.0,,638$,Gas,14.0,others,2,TOTAL 38305 km,4,16621
7588,TOYOTA,Prius,2014,hatchback,5.0,Charcoal,!,Electric Hybrid,4.0,auto,1.8,274381 KM,12,392
7460,HYUNDAI,H1,1912,minivan,5.0,,781 pound,Dies,4.0 cyl,auto,2.5,52600  kilometer,4],17719
5556,I love BMW,I have the fastest model ever.. yes you got it right it's X5,2007,jeep,0.0,Jet Black,-,,18.0,auto,4.8,220000  kilometer,12,29793
12306,LEXUS,RX 450,2010~,,6.0,Charcoal,1399,Electric Hybrid,6.0,auto,3.5,315270  kilometer,12 bags,2509
3976,I love HYUNDAI,TUCSON,2112,jeep,4.0,Metallic,642 pound,Dies,4.0,auto,2,TOTAL 132976 km,4,24267
15399,hyundai,my model which is Elantra is the best,2020,sedan,3.0,Jet Black,1076,Gas,14.0,others,2,261,12,3293
9,toyota,I own Camry.,2014,SEDAN,3.0,Jet Black,-9606,Electric Hybrid,4.0 cyl,others,2.5,398069  kilometer,12,1098
12475,nissan,MARCH,2002>,SEDAN,1.0,Lemon Yellow,-,Gas,4.0,auto,1.2,0 KM,2,5331
10876,NISSAN is the best,I own March.,2013,Hatchback2,4.0,,419,Gas,4.0 cyl,,1.2,59000  kilometer,4,16838
11484,ssangyong,my model which is Actyon is the best,2110,jeep,3.0,Jet Black,I had to pay a substantial $836 levy on my new car purchase.,Dies,0,auto,2,217346,4,16010
3861,MERCEDES-BENZ,my model which is C 250 is the best,,SEDAN,2.0,,-,Gas,4.0 cyl,,1.8 Turbo,71000 km,0  ,27911
17265,Opel,Zafira,2005>,MINIVAN,1.0,Metallic,-,Gas,4.0,R,1.6,160000  kilometer,2,14113
1978,toyota,I own Highlander.,,JEEP,,Pearl White,-,Electric Hybrid,6.0,others,3.3,215000 km,12  ,28852
7540,HYUNDAI,Elantra GT,2115,,5.0,Charcoal,765 pound,Gas,4.0,auto,2,73335 km,8$,17249
16998,toyota,Prius,2005,SEDAN,4.0,Pearl White,-,Gas,4.0,R,0,0  kilo,6,9408
15260,PORSCHE,Cayenne s,2004,jeep,6.0,Metallic,-,Gas,6.0,others,0,165000 km,0,11290
16638,TOYOTA,my model which is RAV 4 is the best,2017,JEEP,0.0,,1249 pound,Gas,4.0 cyl,auto,2.5,63000 KM,12,43905
2202,toyota,,1997,MINIVAN,,Metallic,-4321,Gas,4.0,auto,2.4,230000 KM,2 count,3150
2061,MERCEDES-BENZ is the best,,2016,SEDAN,2.0,,%,Gas,14.0,others,2,50552  kilo,ONLY 12 AIRBAG,549
6231,MAZDA,616,2008,hatchback,2.0,Charcoal,1246$,Gas,4.0 cyl,auto,2.3,254542 KM,-88,392
5552,BMW,I have the fastest model ever.. yes you got it right it's X5,2011,Jeep2,2.0,,1018,Dies,0,others,3,207694  kilo,0,10036
9074,I love HYUNDAI,Sonata,2016,sedan,0.0,Pearl White,891,other,4.0,AUTO,2,227033,ONLY 4 AIRBAG,16308
7786,toyota,AQUA,2013,hatchback,,Pearl White,502$,Electric Hybrid,0,others,1.5,105900 KM,4,12121
13205,Mercedes-Benz,I own E 350.,2011,SEDAN,1.0,,The car levy amounted is 1172 per vehicle.,Dies,6.0 cyl,AUTO,0,132630  kilo,12  ,314
12721,HYUNDAI,,2012,WOOW Jeep,3.0,Pearl White,753 pound,Electric Hybrid,14.0,others,2.4,TOTAL 123862 km,0,470
14108,I love NISSAN,I have the fastest model ever.. yes you got it right it's Tiida,1-1-2005,Hatchback1,1.0,,-,Gas,4.0,auto,1.5,111111 km,0,8311
2050,,I have the fastest model ever.. yes you got it right it's Prius,2009%,Hatchback4,6.0,Charcoal,-,Electric Hybrid,4.0 cyl,auto,1.8,148000  kilo,-88,16935
17602,hyundai,I have the fastest model ever.. yes you got it right it's Elantra,2019,Sedan4,4.0,,1077$,Gas,4.0,AUTO,2,9898  kilo,-88,19757
4088,hyundai,I have the fastest model ever.. yes you got it right it's Sonata,10years old,sedan,4.0,Pearl White,382,Electric Hybrid,4.0,auto,2.4,11000 KM,12,17876
3614,toyota,I own Camry.,2012,Sedan3,3.0,Metallic,781 pound,,4.0,gear,2.5,84000 km,12,20071
17074,,I own Prius.,2008,,1.0,Sapphire Blue,843 pound,Electric Hybrid,4.0 cyl,auto,1.5,207005,ONLY 8 AIRBAG,12544
445,mercedes-benz,C 240,1-1-2002,sedan,0.0,Jet Black,-,Gas,0,R,2.4,2000 km,12,10349
6909,hyundai,Tucson Limited,2016,,4.0,Metallic,730$,Gas,4.0 cyl,,1.6 Turbo,52294  kilo,10 count,26186
6867,hyundai,H1,2014,minivan,1.0,Pearl White,777,,4.0,others,2.5,190000 km,ONLY 4 AIRBAG,28423
2114,Bmw,,2012,jeep,4.0,,-,Gas,18.0,AUTO,0,91000,12,43278
13968,LEXUS,,,jeep,,,2151 pound,Gas,8.0 cyl,gear,4.7,TOTAL 226000 km,10,46728
17070,hyundai,my model which is Sonata is the best,2015@,Sedan1,,,765 pound,other,14.0,auto,2,581040 KM,4,9252
12910,,528,3013,sedan,3.0,Pearl White,640 pound,Gas,4.0,others,2.0 Turbo,82000  kilo,ONLY 12 AIRBAG,27598
2180,lexus,I own RX 400.,2008,jeep,5.0,,1850 pound,Electric Hybrid,6.0,auto,3.5,364523  kilometer,12,941
8895,HYUNDAI is the best,ELANTRA,2011,WOOW Jeep,4.0,Jet Black,645 pound,Gas,4.0,auto,1.8,172502 KM,12,627
17757,chevrolet,Captiva,1907,Jeep,-1.0,,1282,Dies,4.0,others,0,79002  kilometer,4,6272
15501,ssangyong,I have the fastest model ever.. yes you got it right it's Actyon,2016,jeep,1.0,Pearl White,730$,Gas,4.0,R,1.6,55234 KM,4  ,40092
16963,mercedes-benz,E 350,2014,WOOW Sedan,4.0,Jet Black,1053,,6.0 cyl,auto,3.5,153115,12,188
5034,HONDA,I have the fastest model ever.. yes you got it right it's Elysion 3.0,2004,minivan,1.0,Jet Black,-,Gas,6.0 cyl,auto,3,219000 KM,6  ,7840
799,TOYOTA is the best,,2010*,sedan,3.0,Pearl White,1324$,,6.0 cyl,auto,3.3,264877 KM,12>,4861
14244,I love HYUNDAI,H1 STARIXS,,Minivan,6.0,Jet Black,-,Dies,4.0 cyl,,2.5 Turbo,102000 km,2,21953
10212,HONDA,,2014,sedan,0.0,Sapphire Blue,501 pound,Gas,4.0,others,1.5,78400 KM,6  ,21953
13663,ssangyong,I have the fastest model ever.. yes you got it right it's Actyon,2010,WOOW Sedan,,,836 pound,Dies,4.0 cyl,auto,2,233503 KM,4,11807
458,HYUNDAI is the best,Santa FE,,Jeep,0.0,,707,Dies,4.0,auto,2,143166 KM,4,18688
15468,TOYOTA,I have the fastest model ever.. yes you got it right it's Camry,,WOOW Sedan,4.0,Metallic,-,Electric Hybrid,4.0 cyl,R,2.5,TOTAL 40000 km,12,32929
8131,bmw,I have the fastest model ever.. yes you got it right it's 528,2000,,1.0,Jet Black,-,other,0,R,2.8 Turbo,0 KM,6,9400
2786,mercedes-benz,,2006,JEEP,2.0,Metallic,-,Gas,8.0,auto,5,216000  kilometer,112,24462
1107,mitsubishi,my model which is Delica is the best,1996_,,0.0,Emerald Green,-,Gas,14.0,gear,2.4,111000 km,2 count,3763
4461,TOYOTA,,2012,sedan,,,-,Gas,4.0,gear,1.8,TOTAL 123000 km,6(,18817
774,I love FORD,I have the fastest model ever.. yes you got it right it's Focus,12years old,WOOW Hatchback,-1.0,Pearl White,642$,Gas,4.0,others,2,192000  kilo,1008,15681
7951,nissan,my model which is Note is the best,2014,Hatchback,2.0,,1030,Gas,3.0,auto,0,125000 km,2,9722
6762,I love MERCEDES-BENZ,,2012,SEDAN,,Pearl White,1058 pound,Gas,6.0,auto,3.5,70000 KM,11,15681
3896,MERCEDES-BENZ is the best,I own ML 350.,2011;,Jeep,1.0,Pearl White,1172,Dies,6.0,auto,3.5,186542 km,12/,2038
1268,I love MERCEDES-BENZ,E 350,2014,SEDAN,-2.0,,1053,Dies,6.0,AUTO,0,149486,12,314
7168,mercedes-benz,I own S 320.,2000,sedan,5.0,,-,Gas,16.0,others,3.2,200000  kilometer,110,3900
7045,ford,my model which is Fusion is the best,2017,Sedan0,3.0,Gold,784,Gas,4.0,others,1.5,77368  kilometer,12  ,3136
1280,honda,FIT,2003,HATCHBACK,0.0,Metallic,-,Gas,4.0,AUTO,1.5,TOTAL 15000 km,4@,40
8676,,Orlando,2017_,JEEP,3.0,,831,Dies,4.0 cyl,auto,1.6,TOTAL 109953 km,4&,28043
3934,I love HYUNDAI,Tucson,2011,Jeep,2.0,,707,,0,R,2,171340 km,4 bags,17054
7160,,I own Volt.,1-1-2014,HATCHBACK,3.0,Metallic,259,Electric Hybrid,4.0 cyl,others,1.4,112123 km,0,6586
9258,TOYOTA,I own Prius.,13years old,HATCHBACK,2.0,Pearl White,645,Electric Hybrid,14.0,R,1.8,145000 km,12,17249
4783,toyota,RAV 4,,jeep,1.0,Pearl White,I had to pay a substantial $1249 levy on my new car purchase.,Gas,4.0,gear,2.5,TOTAL 37000 km,ONLY 12 AIRBAG,42337
10975,,GX 470,,JEEP,2.0,Pearl White,-7545,,8.0,auto,4.7,263190,0 count,862
12886,,I have the fastest model ever.. yes you got it right it's H1,2010,WOOW Minivan,,Metallic,11024,Dies,4.0,,2.5,54963 KM,4{,18660
10688,TOYOTA,I own Camry.,2012,Sedan,3.0,Pearl White,781$,Electric Hybrid,4.0,auto,2.5,159379  kilo,12,3136
1051,nissan,X-TERRA,2005,jeep,,Jet Black,-,Gas,6.0 cyl,others,0,118498,6  ,16621
16490,I love KIA,I have the fastest model ever.. yes you got it right it's Optima,3014,WOOW Sedan,4.0,Pearl White,-,Electric Hybrid,6.0,auto,0,21000,12,27911
7137,Chevrolet,Captiva,2013,Jeep4,1.0,Charcoal,640$,Dies,4.0 cyl,auto,2,118103  kilometer,4,24302
14032,honda,FIT,,Hatchback0,0.0,Metallic,-9498,Gas,4.0,auto,1.5,118232 km,12 bags,862
2328,volkswagen,I own Jetta.,2014,SEDAN,2.0,Jet Black,777$,Gas,5.0,auto,2.5,127000 KM,12  ,12544
16344,CHEVROLET,I own Aveo.,2017(,SEDAN,0.0,,831,Gas,4.0,gear,1.6,49659  kilo,4,26306
11742,Hyundai,I have the fastest model ever.. yes you got it right it's H1,,minivan,3.0,Metallic,915 pound,Dies,4.0,R,3,114142  kilo,4#,31581
9931,hyundai,Santa FE,2016,JEEP,2.0,,891$,,4.0,others,2,116365,4,43128
16703,mazda,I have the fastest model ever.. yes you got it right it's CX-7,"2011,",jeep,1.0,,+,Gas,4.0,,0,TOTAL 184576 km,-88,470
7222,FORD,my model which is Transit is the best,11years old,Goods Wagon,,Pearl White,-,Dies,4.0 cyl,others,2.2 Turbo,147000,4,34184
2228,BMW,my model which is X5 is the best,7years old,JEEP,1.0,Pearl White,We were surprised by the hefty $1481 levy on imported cars.,Dies,16.0,R,3,98726 KM,12,14269
11384,nissan,I have the fastest model ever.. yes you got it right it's Juke,2017,JEEP,4.0,Jet Black,831$,Gas,0,auto,1.6 Turbo,54000  kilometer,10 count,23207
2138,ford,,2014,sedan,,,333 pound,Electric Hybrid,4.0,auto,2,186048 KM,0,862
8593,I love HYUNDAI,Tucson,1-1-2010,jeep,4.0,,836,Dies,4.0 cyl,auto,2,221000 km,104,23138
2581,MERCEDES-BENZ,GLE 63 AMG,2016,jeep,3.0,Jet Black,I had to pay a substantial $2297 levy on my new car purchase.,Gas,0,auto,5.5,17584  kilo,0,6272
10534,,Sonata,2015,SEDAN,,Pearl White,765$,other,4.0 cyl,AUTO,2,311337  kilo,4,10976
12670,KIA,my model which is Sorento is the best,3004,Jeep0,2.0,Jet Black,-,other,4.0 cyl,manual,2.4,0 km,8 count,10976
10118,mercedes-benz,my model which is E 350 is the best,,SEDAN,2.0,Sapphire Blue,1172$,Dies,6.0,others,3.5,64496 KM,1012,13642
6145,,Prius S,2010,hatchback,2.0,,-,Electric Hybrid,4.0,gear,0,164000 km,ONLY 6 AIRBAG,17092
14378,BMW is the best,520,1996|,,0.0,Emerald Green,-,,6.0 cyl,manual,2,278000 km,1005,5645
15871,toyota,PRIUS 3,2012,,8.0,,586$,,4.0,auto,1.8,TOTAL 132451 km,8 bags,14113
12705,HYUNDAI,my model which is Elantra is the best,,SEDAN,3.0,Chocolate,810 pound,Gas,4.0,auto,1.8,133437 KM,ONLY 12 AIRBAG,2038
5844,TOYOTA,PRIUS V,1913,,1.0,,585$,Electric Hybrid,4.0,auto,1.8,178314 KM,12~,3607
1015,HYUNDAI,Elantra,2014|,SEDAN,1.0,Gold,584,,4.0,,1.8,176000 km,6,14113
7605,TOYOTA,,2013,,5.0,,-,Electric Hybrid,14.0,auto,1.8,71000,12  ,19130
14952,,my model which is Juke juke is the best,2010,jeep,5.0,Charcoal,-,Gas,4.0 cyl,auto,1.6 Turbo,TOTAL 162309 km,6,19444
13142,toyota,LAND CRUISER PRADO,2008,Jeep,6.0,Charcoal,-,other,8.0,gear,4.7,TOTAL 150000 km,0,40
13286,kia,I own Optima.,1-1-2016,,1.0,Metallic,"""",Gas,14.0,AUTO,2,43618 km,ONLY 4 AIRBAG,16004
7810,hyundai,Santa FE,2016[,Jeep1,,Jet Black,891,Dies,4.0 cyl,auto,2,194067  kilo,4!,37633
6545,Opel,I own Astra.,1900,,0.0,,-,Dies,4.0,gear,2.0 Turbo,215000 KM,4,7840
12110,TOYOTA is the best,my model which is Prius is the best,,hatchback,3.0,Pearl White,We were surprised by the hefty $585 levy on imported cars.,,0,others,1.8,169301 KM,12 bags,157
1248,gmc,Yukon,2019,SEDAN,,,3156 pound,Gas,8.0,others,6.2,11325 km,12 bags,35752
8595,I love HYUNDAI,Elantra,2016,sedan,3.0,Metallic,730,other,4.0 cyl,auto,1.6,74909 km,4,27504
2107,I love LEXUS,I have the fastest model ever.. yes you got it right it's LS 460,2009',Sedan,5.0,Metallic,2108,Gas,14.0,auto,4.6,217614,4 bags,21608
12616,MAZDA,CX-9,2111,Sedan,2.0,Jet Black,1234$,Gas,6.0,AUTO,3.7,TOTAL 134157 km,12  ,549
6982,toyota,my model which is Prius is the best,2008,hatchback,1.0,Gold,843,Electric Hybrid,4.0,AUTO,1.5,204000  kilo,8 count,7840
11085,bmw,my model which is X5 is the best,2111,jeep,1.0,Jet Black,1018,,6.0,auto,3,332243  kilometer,ONLY 0 AIRBAG,10349
11674,MITSUBISHI,AIRTREK,1902,UNIVERSAL,-1.0,Charcoal,-,Gas,4.0,auto,2,136000 km,2  ,8154
5398,TOYOTA,,14years old,WOOW Jeep,0.0,Sapphire Blue,I had to pay a substantial $761 levy on my new car purchase.,Electric Hybrid,0,AUTO,1.8,221760  kilo,12 bags,706
15014,HYUNDAI,I own Sonata.,2015,Sedan,0.0,,765$,other,4.0 cyl,AUTO,2,510248 KM,4,9252
2550,I love MITSUBISHI,Outlander,2003,universal,4.0,Pearl White,-,other,4.0,R,2.4,200000  kilo,0,10036
